Class,g1,g2,g3,g4
2,55.6,123.17,0.29,30
3,55.47,207.45,0.34,40
2,42.99,196.2,0.06,33
1,38.6,204.62,0.05,16
1,23.57,0,0,5
2,29.68,21.7,0,15
1,25.17,14.57,0,15
2,37.59,95.27,0.21,25
3,45.68,932.57,0.55,70
1,28.78,361.6,0.47,42
1,36.59,19.91,0.1,21
2,45.59,248.76,1.84,15
2,39.54,516.55,0.26,63
2,41.72,94.84,0.21,46
2,43.01,234.25,0.4,61
1,28.96,109.19,0.21,40
1,24.55,48,0,33
2,43.52,756.97,0.38,42
1,31.36,114,0,22
2,36.1,851.33,1,37
2,40.13,106.45,0.05,64
2,46.25,71.41,0.19,30
2,38.23,2,0,43
1,24.55,6,0,15
2,49.05,37.4,0.36,27
2,36.95,285.26,0,20
2,48.76,87.43,2.07,64
2,41.35,333.49,0.64,55
2,32.93,150.01,0.22,57
1,23.5,36,0,15
1,18.93,71.3,0,20
2,53.62,0,32.34,17
1,26,18.7,7,15
2,42.59,552.81,2.94,73
3,61.05,297.86,93.54,70
4,55.68,512.35,2.23,92
2,41.19,25.59,1.17,15
3,52.58,456.58,8.73,35
3,46,471.95,0.28,74
2,44.66,271.28,0.6,43
3,44.58,305.47,1.68,75
2,52.16,39.85,1.8,63
2,50.12,245.85,0.38,30
3,44.27,402.06,0.6,75
1,14.91,0,0,5
1,35.15,36.92,0.69,20
3,82.07,256.05,1.64,87
2,48.86,116.84,2.2,45
3,46.42,364.35,2.18,75
1,0,6,0,15
3,57.24,552.46,0.7,82
4,57.82,546.64,3.34,80
3,45.86,480.15,0.15,81
2,39.09,1172.76,0.2,76
3,47.9,924.59,0.55,63
2,38.18,757.41,0.11,45
3,45.05,967.03,0.19,38
1,30.95,17,0,15
2,33.5,167.42,0.12,28
2,38.58,44.47,0.66,41
1,27.64,31.05,0,28
1,37.16,10,0,17
1,37.76,21,0,15
2,42.8,17,0,10
1,15.02,0.24,0,10
1,32.05,0,0,15
1,14.3,3,0,14
1,12.33,30,0,38
1,0,0,0,39
2,44,8.58,0.13,51
3,56.47,190.68,3.87,7
2,30.38,25,0,11
2,30.59,18,0,5
2,34.05,365,0,36
2,48.76,175.08,0.3,30
3,46.62,481.84,0.31,27
3,59.14,359.65,0.36,45
2,41.28,63.55,0.06,10
2,45.83,96.71,0.62,28
3,51.58,322.81,0.55,35
2,44.17,118.63,0.31,20
2,47.78,271.23,3.01,30
2,43.48,123,0.02,10
3,47.95,386.92,0.68,30
2,49,2,0,15
2,27.82,65.37,0.07,20
2,36.71,130.93,0.38,25
1,0,8.15,56,27
1,26.53,0,0,0
1,29.36,73.66,0.02,0
2,46.62,78,0,5
4,111.01,381.28,1.84,85
3,50.25,507.89,0.69,72
2,38.59,133.71,0.14,21
4,86.58,466.48,1.65,96
3,71.14,39.7,0.51,61
3,66.98,160.3,0.5,63
3,60.5,142.24,1.6,68
2,49.98,380.63,0.21,45
2,37.44,180.48,0.06,35
4,59.99,566.57,1.5,95
2,40.51,550.06,0.72,55
3,47.51,496.73,0.73,80
3,46.19,568.35,1.38,55
3,49.35,932.55,0.14,80
2,47.05,48.17,1.23,10
2,49.39,111.8,2.73,20
3,49.72,315.68,0.21,45
3,46.64,451.78,0.51,40
3,43.85,521.79,0.27,45
2,48.08,228.09,0.21,65
3,47.74,590.21,0.39,70
2,42.89,508.48,0.24,45
2,42.39,568.7,0.15,50
2,40.18,100.36,0.51,35
2,39.46,251.74,0.21,25
2,50.18,621.68,0.12,50
3,43.33,657.66,0.54,60
3,46.96,369.27,0.69,45
3,56.67,273.87,1.97,60
3,67.99,311.58,0.63,30
3,45.22,660.23,0.3,45
2,39.69,261.04,0.12,20
2,38.95,801.84,0.16,45
3,44.98,890.2,0.52,75
2,38.06,356.53,0.41,45
2,38.23,1005.72,0.08,88
3,45.82,474.07,0.37,72
3,47.66,866.43,0.54,60
3,40.75,383.68,0.09,65
2,40.67,523.25,0.16,50
2,51.83,131.05,0.35,40
4,55.32,563.45,0.67,89
3,50.68,953.42,0.54,100
3,42.68,1437.39,1.23,82
3,53.73,509.57,0.49,72
3,47.44,934.1,0.45,91
4,47.86,673.8,0.51,70
3,45.81,563.28,0.28,67
2,42.37,325.02,0,35
3,43.63,834.77,0.21,78
3,49.38,1216.96,1.35,79
3,54.7,894.42,1.06,100
3,43.48,888.2,0.62,90
2,41.08,68.23,0,38
2,43.82,53,0,20
3,45.33,547.29,0.22,78
2,46.69,258.7,0.04,40
3,44.84,274.16,0.21,60
2,41.58,178.54,0.31,30
2,34.18,433.24,0.46,25
2,51.54,271.71,0.04,12
2,38,17,0,10
3,42.98,742.25,0.03,27
3,44.58,626.02,0.1,60
3,48.34,368.48,0.5,45
3,50.76,906.86,0.41,85
3,44.03,1260.06,0.4,98
3,50.64,833.93,0.53,75
2,42.45,166.46,0.2,36
3,45.65,702.98,0.68,55
3,49.94,377.36,0.5,75
3,53.02,544.99,1.04,60
2,40.19,194.99,0.58,50
2,40.02,1390.77,0.56,77
2,36.25,513.14,0.13,36
2,40.62,563.36,0.86,63
2,37.89,513.82,0.06,40
3,45.36,587.14,0.51,86
2,45.72,405.63,0.12,40
4,55.45,906.62,0.58,73
2,51.06,332.07,0.16,38
3,55.36,491.84,4.05,71
3,41.67,463.72,0.12,55
3,49.78,322.24,0.22,43
2,39.92,56.56,0.02,20
2,34.78,503.18,0.02,65
2,34.21,524.82,1.09,42
2,37.36,100,0.16,35
2,45.82,260.06,0,10
3,48.22,207.95,0.16,43
2,43.68,244.99,0.04,36
1,34.2,86.65,0.03,31
2,37.79,0,0,18
3,45.5,400.17,0.1,44
2,51.11,89,0,6
3,43.09,868.48,0.49,76
1,34.49,266.85,0.03,16
2,39.16,406.23,0.09,48
2,37.41,54.98,1.77,5
2,46.18,286.04,0.12,20
2,48.02,100.07,0.25,20
3,44.16,507.02,0,68
1,38.19,63,0,26
2,31.88,92.02,0,25
2,47.93,732.04,0.21,47
2,37.35,535.43,0.11,46
2,41.16,936.76,0.18,30
3,45.38,711.63,0.24,55
2,33.86,286,0.03,30
2,31.15,312,0,18
2,38.86,585.16,3.17,45
3,41.56,1933.87,0.27,86
2,42.18,374.12,0.09,50
3,40.79,701.24,0.32,75
2,49.25,182.68,0.34,19
1,30.09,102.06,0,15
2,42.62,17.67,0.33,30
2,51.5,0,0,15
2,42.42,252.1,0.06,35
3,47.28,288.79,0.18,73
2,36.43,146.59,0.04,45
3,43.11,569.11,0.38,45
2,44.84,786.22,0.08,56
2,45.73,279.73,1.01,17
2,37.93,438.48,0.2,42
2,42.81,714.98,0.02,28
3,47.26,227.08,0.05,26
2,41.02,92.39,9.9,72
2,45.42,52.78,0.12,55
3,77.19,83.2,13.65,87
3,58.11,21.4,2.53,43
3,77.69,146.07,4.76,93
4,52.86,573.24,3.33,100
3,42.65,1489.1,1.54,85
2,36.5,571.72,0.58,51
4,72.29,565,3.06,100
3,50.88,1108.79,0.55,80
3,43.14,1028.86,1.12,81
3,42.67,399.85,0.3,83
2,43.17,378.62,0.71,45
3,48.26,1104.75,0.71,89
3,47.4,1005.13,0.49,38
4,97.89,536.94,2.52,96
2,44.86,369.64,1.09,74
3,50.24,534.33,0.49,65
1,25.14,1632.2,0.21,75
2,37.82,1249.07,0.32,64
3,47.07,941.63,0.38,70
2,43.01,81.34,0,15
2,39.97,564.76,0.09,73
1,36.95,172.39,0,31
2,36.47,87.33,0,20
2,37.84,159.86,0.37,53
1,27.68,42.73,0.01,30
1,27.4,35.59,0.06,20
1,19.12,23,0,10
1,26.34,77,0.04,17
1,32.87,95.41,0.05,21
1,21.27,0,0,0
1,20.21,28.42,2.19,15
2,42.61,173.98,0,10
1,18.35,19,0.19,5
1,32.43,15.54,0,17
1,26.23,37.51,1.5,17
2,36.97,59.12,0.76,66
1,24.6,9.87,0.04,5
1,28.18,2,0,5
2,46.5,0,0,0
1,29.56,23,0,13
2,33.41,9,0,5
3,63.74,34.92,3.39,50
2,53.89,37.51,1.04,10
1,31.63,26.2,0,26
1,28.43,19,0,15
2,31.32,41,0,15
1,26.73,47,0,5
2,55.36,126.77,1.03,48
1,28.92,53.45,1.28,5
1,23.71,8.21,0.13,20
2,41.47,75.91,1.65,19
2,50.59,49.48,0,24
2,46.91,34,0.03,20
1,29.13,8,0,12
2,44.5,32.33,0,34
2,32.91,68.89,1.52,0
2,37.57,302.27,5.77,54
1,23.29,120.95,0.04,15
1,16,20,0,3
2,42.44,9,0,0
1,18.61,2,1.98,17
2,43.56,89.79,0.06,27
