Class,g1,g2,g3,g4
3,122.6,77.47,4.76,53.72
2,48.23,93.3,0.46,45.1
1,30.42,29.79,0,18.4
2,41.08,277.54,0,40.72
2,87.23,122.34,0.22,39.15
2,48.22,63.33,1.54,43.38
2,53.05,69,0.84,50.98
1,24.79,11.88,0,8.19
2,44.38,13.26,0,32.27
1,47.65,17.67,0,18.2
3,68.67,3,0,34.5
2,33.18,186.95,92.06,41.15
3,98.41,305.43,23.82,79.05
1,18.93,41.52,3.65,19.87
2,30.46,36.43,47.71,36.24
2,44.17,2.34,13,3.33
3,86.51,103.83,1.93,48.24
2,66.66,223.31,18.43,66.18
4,104.1,477.44,11.22,96.75
2,34.28,66.08,7.4,46.1
2,44.86,15.83,1.43,33.75
4,55.05,408.74,2.73,91.55
3,102.82,94.37,1.29,38.71
2,43.98,64.65,5.4,39.69
3,57.78,166.12,83.5,74.97
1,52,237.27,2.04,27.83
3,52.52,59.26,37.36,48.45
1,62.82,24.17,6.24,32.24
2,27.79,136.93,17.62,59.29
2,42.33,153.69,9.11,48.08
1,0,13.27,8.29,0
1,43.87,13.18,0.03,26.27
1,32.79,45.25,0.28,0
1,27.72,18.36,0,32.12
1,41.05,20.41,2.07,38.56
3,67.28,102,11.83,70.72
1,44.09,0,0,31.36
2,37.79,19.61,0.68,66.56
4,87.73,776.96,10.4,78.84
1,38.7,11.28,0.02,8.81
1,25.38,3.84,0.1,8.81
1,30.47,12.57,0.33,21.88
2,44.54,44.4,1.26,42.06
2,46.99,25.64,0,18.08
1,57.25,67.65,3,35.43
2,71.75,95.07,0.55,43.43
2,48.11,49.74,2.09,49.7
3,131.63,343.52,6.23,48.28
2,83.52,159.28,6.29,20.69
3,115.38,364.93,3.63,75
3,86.09,14.28,0.03,57.75
2,43.52,73.35,4.71,43.66
3,152.83,730.07,5.16,59.66
2,50.05,393.38,4.54,53.44
2,64.08,218.17,2.44,52.45
2,57.78,16.3,0.66,20.47
1,23.15,74.24,3.56,18.98
2,31.43,35.29,0.41,27.76
2,60.69,91.97,0.15,24.91
3,49.89,595.14,0.58,88.72
2,33.99,57.54,0.09,49.45
4,55.71,901.81,1.41,94.75
3,46.94,440.38,0.27,65.55
3,49.36,546.36,0.6,54.08
2,86.43,242.89,0.84,42.97
2,40.74,130.8,0.01,30.77
1,42.8,42.5,0,6.82
3,57.86,271.64,2.58,66.96
2,37.62,481.05,0.21,43.55
2,40.99,22.83,0.07,17.27
2,39.31,14.86,2.11,62.56
2,71.41,70.41,0.85,31.31
2,40.81,261.8,0.14,41.03
3,55.78,324,0.43,68.13
3,49.78,288.57,0.57,20.52
2,59,286.95,1.14,76.83
4,152.39,366.69,1.75,58.18
1,51.83,187.47,1.31,57.82
2,70.57,234.59,1.42,31.51
2,75,105.18,0.35,51.63
2,41.07,135.17,0.57,23.35
2,42.59,566.03,0.22,57.27
1,32.81,6.21,0.04,24.36
1,28.43,1.09,0,6.38
2,63.58,26.74,0.49,18.04
2,93.01,56.18,1.71,27.47
2,96.33,284.02,0.83,55.68
2,51.56,201.32,0.2,53.05
2,87.7,174.59,3.44,43.47
3,99.1,228.41,9.2,66.29
2,44.64,85.79,3.73,70.03
3,99.59,171.6,27.9,67.9
2,29.62,554.72,0.19,48.18
3,49.47,475.84,1.67,92.84
2,42.72,811.49,1.16,67.46
2,34.2,176.73,1.96,37.64
3,110.24,341.85,6.28,65.14
3,52.78,200.51,13.53,41.7
2,46.38,121.13,1.63,46.67
1,18.11,13.29,0,0
1,36.53,5.88,0,0
1,26.97,15.73,0,18.08
1,17.48,11.77,0,11.22
1,20.13,0.43,0,8.94
1,23.19,4.92,0,6.15
1,34.6,50.19,0,24
1,10.27,3.39,0.45,13.09
1,22.77,0,0,0
