Class,g1,g2,g3,g4
3,70.24,1126,24.28,100
1,40.31,19,1.14,9
2,56.46,135.29,0.73,70
2,66.33,81.75,1.01,58
2,60.69,258.49,1.97,47
2,70.94,287.01,0.61,58
2,41.59,51,1.16,53
2,59.32,412.32,1.12,44
2,57.1,515.71,0.7,47
1,44.37,153.23,0.68,56
2,70.02,250.39,1.69,52
3,60.99,518.98,2.11,72
2,57,381.62,1.2,55
2,48.57,477.5,1.72,54
2,61.74,123.3,0.25,40
2,67.93,395.37,1.4,39
1,47.34,162.95,0.75,21
3,53.34,516.84,2.48,62
3,70.67,74.48,70.44,22
3,73.82,674.12,1.46,77
2,67.32,1331.18,3.68,88
3,98.57,104.32,14.86,62
3,68.19,226.02,11.8,61
3,98.37,480.56,1.02,92
3,74.19,1803.48,0.71,80
3,76.74,475.15,0.25,70
3,87.39,544.71,1.48,63
4,100.8,779.71,8.7,78
4,112.48,579.37,7.62,75
2,40.19,640,36.98,75
4,114.06,1219,8.83,80
3,102.19,1314,12.72,80
3,95.57,278.46,5.2,45
3,110.82,174.92,4.97,30
1,25.5,240.64,5.71,39
2,86.59,428.53,1.24,20
3,97.8,238.19,10.6,69
1,28.48,463.84,5.9,70
3,99.43,750.42,5.79,60
3,95.6,174.72,32.48,85
1,65.5,142.79,0.89,65
2,90.91,479.04,8.33,40
3,87.77,446.47,4.18,85
3,88.34,400.87,4.29,65
4,95.02,451.37,10.44,95
2,61.95,294.77,1.3,81
2,75.1,295.54,0.19,73
3,93.89,413.85,6.81,71
2,45.09,414.53,2.75,55
2,86.74,689.19,4.9,50
4,103.37,478.91,9.02,87
3,83.35,847.68,21.28,72
3,91.3,887.04,5.43,60
2,69.79,82.92,1.68,42
2,76.25,680.35,4.18,71
3,93.85,282.13,3.98,50
1,23.9,165.61,23.23,75
3,93.22,380,5.42,62
4,97.8,766.2,6.62,84
3,111.7,265.2,14.41,30
3,59.15,477.93,6.31,77
3,124.87,258.05,3.03,25
2,80.15,95.37,2.97,20
3,93.33,495.8,2.72,70
3,103.28,669.47,4.09,100
2,55.09,282.04,18.24,92
3,105.68,218.17,0.88,35
2,82.19,90.73,1.3,40
1,37.42,817.38,1.38,46
1,33.63,157.83,2.88,68
3,63.84,835.45,10.62,88
2,55.2,213.36,7.05,85
2,73.52,574.81,1.16,73
2,45.27,149.18,8.05,60
1,65.96,104.96,0.93,46
1,33.61,7,0,42
4,107.25,865,15.29,100
3,109.94,290.43,4.69,40
2,66.98,100.95,1.53,48
