Class,g1,g2,g3,g4
1,45.93,2,0,17
3,64.37,973.93,2.02,92
3,90.51,462.79,3.43,81
4,125.4,744.85,4.01,100
2,50.26,510.81,1.74,76
2,45.37,745.03,4.79,84
4,94.11,1121,5.06,92
4,129.78,1040.72,4.81,95
3,89.31,1095.97,7.27,94
3,88.92,747.85,4.26,85
3,95.14,156.68,0.18,55
3,108.41,717.24,13.26,50
2,88.3,334.32,3.53,40
3,53.08,403.03,13.72,79
1,40.35,2.4,0,26
2,37.76,167.01,9.16,58
2,42.15,171.38,4.38,59
2,51.88,235.2,0.68,35
2,51.48,119.49,0.84,55
1,32.95,280.05,2.71,20
2,42.29,243.9,1.28,55
1,36.17,367.16,2.95,83
2,50.16,297.66,3.21,59
1,69.58,208.68,0.6,25
1,0,41.38,81,17
2,40.77,131.19,11.81,54
3,60.8,539.1,43.51,74
2,28.86,5.31,11.24,48
1,18.36,34,1.57,40
1,2.42,56,14.83,60
3,116.19,396.65,6.62,100
2,102.58,510.09,2.52,85
1,140,0,0,5
3,112.95,173.24,3.47,70
3,110.91,292.06,3.64,80
2,32.09,253.09,5.14,78
2,4.59,134.09,34.79,53
1,19.57,2,0,28
3,32.23,982,22.74,83
2,7.41,54.08,63.14,59
2,7.04,167.86,35.44,75
3,123.82,551.1,1.33,80
3,37.26,284.72,38.04,100
3,81.27,459.68,4.53,75
2,37.13,279.35,6.56,80
2,46.94,76.64,7.19,70
2,30.76,299.45,18.47,80
4,125.23,951,6.79,100
3,89.41,602.1,12.49,72
3,118.88,547.58,5.17,75
2,34.93,215.1,10.79,90
3,60.47,453.26,19.62,96
1,31.23,375.66,4.18,53
2,14.03,521.2,15.25,85
4,116.94,2651.87,6.59,100
2,107.75,420.62,1.26,70
3,90.12,313.15,5.59,86
3,110.33,1135,4.54,90
2,23.37,30,9.55,60
3,64.32,358.62,20.65,81
3,87.74,143.02,6.23,72
2,71.4,81.91,1.43,55
2,64.1,226.54,4.67,64
3,114.38,663.52,4.79,95
2,14.83,164.78,17.39,70
2,21.16,338.71,29.78,77
1,5.35,733,2.61,80
2,43.25,436.11,8.1,65
2,44.33,48.96,8.26,48
3,82.24,854,17.31,98
4,107.81,794.85,2.69,100
2,58.58,153.03,10.2,50
2,32.41,157.19,20.38,60
2,17.98,252.52,8.18,60
3,46.04,584,21.31,90
