Class,g1,g2,g3,g4
2,32.28,78.2,0.39,39
2,21.14,163,0.23,65
2,21.05,304,0,55
2,31.06,50.08,0,50
2,27.58,110,0,25
2,16,247,0,65
1,13.21,255,0,55
3,27.31,236.1,0,70
2,30.52,343,0,45
2,25.27,132,0,30
3,32.65,405,0,65
2,19.45,315,0,75
3,36.18,176.36,0,55
2,30.41,241,0,30
2,20.51,91,0,45
1,12.93,335,0,65
4,38.52,138,0.49,70
2,25.62,223,0.08,53
3,32.74,411.38,0.26,80
3,26.98,605.27,0.1,80
2,22.16,360,0,45
2,27.79,105.05,0.09,80
1,15.96,372,0.02,60
3,33.98,209,0,40
2,19.73,585,0.08,70
3,32.42,491.64,0.08,100
2,23.22,59,0,15
2,23.57,326.24,1.74,70
3,36.44,209.62,0.63,70
3,37.57,288.99,2.85,65
3,37.4,273.69,1.65,33
3,26.75,221.33,3,50
2,24.11,236.65,0.21,100
3,33.13,261.99,0.45,75
2,41.36,94.77,0.16,58
3,34.49,211.85,1.7,70
3,31.7,358,0,75
2,27.97,247.16,0,50
2,22.84,382,0.2,25
3,37.91,135.28,7.4,65
3,31.22,305.03,0.13,80
2,27.29,120,2.69,40
3,31.07,251,0.06,65
3,31.71,236.12,0.16,70
3,37.76,274,0,60
2,32.55,261,0,60
3,38.59,287.22,0.91,70
4,35.97,231.07,0.05,80
1,19.68,66,0,25
1,14.94,381,0,50
3,40.5,224.48,0.37,70
2,25.86,216,0,35
2,24.95,84,0,47
2,31.27,85.69,0,35
2,28.74,136,0,12
2,20.81,211,0,30
2,23.8,92.8,0.14,45
2,28.82,47,0.16,60
2,40.09,99.25,0.08,75
2,38.23,130,0.06,35
2,28.46,317.99,0.11,30
2,28.79,66,0,30
2,32.38,143.48,0.06,65
2,27.44,269,0.11,40
2,23.66,275.89,0.18,90
3,39.31,49.2,0.47,50
3,28.96,192,0.4,60
2,22.42,50,0,40
2,24.34,263,0,50
1,22.43,87,0,35
4,40.92,80,0,70
2,25.26,42,0,55
2,31.92,53,0.41,35
2,33.12,29.18,0.69,55
2,22.31,41.16,0,37
2,19.49,240,0,70
2,28.59,77,0,20
2,23.09,216,0,40
3,41.55,297,0,65
1,12.08,221,0,35
3,31.53,259,0.41,70
2,31.67,80,0,35
2,39.99,175.33,0.77,35
4,48.14,796.72,0.55,75
2,32.24,285,0,35
2,19.32,236,0,57
2,24.17,130,0,30
2,19.87,358,0,80
3,36.5,461.03,0,60
2,18.64,216.92,0.03,75
2,25.83,325,0,30
3,41.59,240.96,1.34,40
2,23.08,108,0,30
2,31.55,73,0,25
2,26.73,437,0.67,70
3,36.49,128,6.46,55
1,17.08,135,0,15
2,26.04,140,0,50
2,28.27,128,0,52
