Alternative,Subset,g1,g2,g3,g4,g5,Class
a1,WHI,0.27,0.045,170,1.001,8.8,Cl2
a2,WHI,0.3,0.049,132,0.994,9.5,Cl2
a3,WHI,0.28,0.05,97,0.9951,10.1,Cl2
a4,WHI,0.23,0.058,186,0.9956,9.9,Cl2
a5,WHI,0.23,0.058,186,0.9956,9.9,Cl2
a6,WHI,0.28,0.05,97,0.9951,10.1,Cl2
a7,WHI,0.32,0.045,136,0.9949,9.6,Cl2
a8,WHI,0.27,0.045,170,1.001,8.8,Cl2
a9,WHI,0.3,0.049,132,0.994,9.5,Cl2
a10,WHI,0.22,0.044,129,0.9938,11,Cl2
a11,WHI,0.27,0.033,63,0.9908,12,Cl1
a12,WHI,0.23,0.035,109,0.9947,9.7,Cl1
a13,WHI,0.18,0.04,75,0.992,10.8,Cl1
a14,WHI,0.16,0.044,143,0.9912,12.4,Cl2
a15,WHI,0.42,0.04,172,1.0002,9.7,Cl1
a16,WHI,0.17,0.032,112,0.9914,11.4,Cl2
a17,WHI,0.48,0.046,99,0.9928,9.6,Cl2
a18,WHI,0.66,0.029,75,0.9892,12.8,Cl3
a19,WHI,0.34,0.033,171,0.9917,11.3,Cl2
a20,WHI,0.31,0.044,133,0.9955,9.5,Cl1
a21,WHI,0.66,0.029,75,0.9892,12.8,Cl3
a22,WHI,0.31,0.038,102,0.9912,11,Cl2
a23,WHI,0.26,0.049,122,0.993,10.5,Cl3
a24,WHI,0.67,0.074,168,0.9937,9.3,Cl1
a25,WHI,0.27,0.052,142,0.9951,10,Cl2
a26,WHI,0.25,0.046,245,0.9955,10.4,Cl2
a27,WHI,0.24,0.052,146,0.993,10,Cl2
a28,WHI,0.28,0.051,141,0.9961,10.5,Cl2
a29,WHI,0.27,0.047,132,0.9914,11.6,Cl2
a30,WHI,0.32,0.033,114,0.9906,12.3,Cl2
a31,WHI,0.24,0.044,142,0.9974,10,Cl2
a32,WHI,0.14,0.042,47,0.9934,10.2,Cl2
a33,WHI,0.25,0.05,100,0.992,10.8,Cl2
a34,WHI,0.12,0.045,117,0.9939,9,Cl2
a35,WHI,0.27,0.044,179,0.9962,10.2,Cl1
a36,WHI,0.28,0.08,123,0.9905,12.8,Cl1
a37,WHI,0.39,0.051,149,0.9934,10,Cl1
a38,WHI,0.33,0.053,138,0.9906,11.2,Cl2
a39,WHI,0.24,0.057,149,0.9999,8.6,Cl1
a40,WHI,0.24,0.057,149,0.9999,8.6,Cl1
a41,WHI,0.23,0.172,158,0.9937,9.4,Cl2
a42,WHI,0.24,0.173,157,0.9937,9.4,Cl2
a43,WHI,0.31,0.069,160,0.9954,9.8,Cl2
a44,WHI,0.24,0.057,152,0.9934,9.5,Cl2
a45,WHI,0.23,0.06,154,0.9934,9.5,Cl2
a46,WHI,0.18,0.058,167,0.9931,10,Cl2
a47,WHI,0.45,0.063,206,0.994,9.8,Cl1
a48,WHI,0.46,0.066,207,0.9939,9.8,Cl1
a49,WHI,0.31,0.069,160,0.9954,9.8,Cl2
a50,WHI,0.19,0.067,150,0.995,9.8,Cl1
a51,WHI,0.19,0.062,173,0.9917,11.7,Cl2
a52,WHI,0.25,0.068,124,0.9914,11,Cl2
a53,WHI,0.16,0.057,82,0.991,10.9,Cl2
a54,WHI,0.18,0.045,108,0.9911,10.9,Cl2
a55,WHI,0.2,0.147,132,0.993,9.1,Cl2
a56,WHI,0.25,0.039,191,0.9908,11,Cl2
a57,WHI,0.21,0.043,213,0.9962,9.6,Cl2
a58,WHI,0.19,0.048,147,0.9972,8.9,Cl2
a59,WHI,0.38,0.044,78,0.9931,10.2,Cl2
a60,WHI,0.2,0.038,111,0.9926,9.9,Cl2
a61,WHI,0.22,0.092,123,0.9951,8.6,Cl2
a62,WHI,0.19,0.048,147,0.9972,8.9,Cl2
a63,WHI,0.47,0.035,151,0.991,10.5,Cl1
a64,WHI,0.38,0.044,78,0.9931,10.2,Cl2
a65,WHI,0.24,0.038,122,0.9927,10.3,Cl2
a66,WHI,0.35,0.064,120,0.9934,9.1,Cl1
a67,WHI,0.26,0.04,124,0.9903,12.6,Cl2
a68,WHI,0.25,0.041,174,0.992,9.8,Cl1
a69,WHI,0.23,0.046,96,0.9926,10.7,Cl3
a70,WHI,0.24,0.05,105,0.9962,9.5,Cl1
a71,WHI,0.27,0.056,244,0.9956,9,Cl2
a72,WHI,0.3,0.061,238.5,0.9958,9.5,Cl1
a73,WHI,0.27,0.063,201,0.9964,10,Cl1
a74,WHI,0.23,0.054,72,0.9941,9.1,Cl2
a75,WHI,0.23,0.046,96,0.9926,10.7,Cl3
a76,WHI,0.24,0.05,105,0.9962,9.5,Cl1
a77,WHI,0.18,0.043,87,0.9898,12.7,Cl2
a78,WHI,0.32,0.042,69,0.9912,12,Cl2
a79,WHI,0.18,0.064,103,0.9961,9.3,Cl1
a80,WHI,0.54,0.06,105,0.9949,9,Cl1
a81,WHI,0.22,0.053,114,0.9929,10.6,Cl2
a82,WHI,0.2,0.05,166,0.9985,9.2,Cl2
a83,WHI,0.34,0.063,164,0.9946,10,Cl1
a84,WHI,0.22,0.047,207,0.9966,9.5,Cl2
a85,WHI,0.43,0.045,155,0.9974,8.7,Cl1
a86,WHI,0.44,0.044,152,0.9975,8.7,Cl2
a87,WHI,0.39,0.044,156,0.9974,8.7,Cl2
a88,WHI,0.25,0.05,202,0.9972,9.7,Cl2
a89,WHI,0.43,0.045,155,0.9974,8.7,Cl1
a90,WHI,0.44,0.044,152,0.9975,8.7,Cl2
a91,WHI,0.39,0.044,156,0.9974,8.7,Cl2
a92,WHI,0.27,0.049,243,0.9957,9,Cl1
a93,WHI,0.24,0.035,136,0.99,12.6,Cl2
a94,WHI,0.21,0.034,136,0.9899,12.6,Cl2
a95,WHI,0.17,0.04,148,0.9916,11.5,Cl2
a96,WHI,0.26,0.044,240,0.9969,9.2,Cl2
a97,WHI,0.34,0.046,164,0.9979,8.8,Cl2
a98,WHI,0.265,0.034,80,0.9913,11.4,Cl2
a99,WHI,0.36,0.038,83,0.9956,10.1,Cl1
a100,WHI,0.34,0.046,164,0.9979,8.8,Cl2
a101,WHI,0.25,0.06,192,0.9975,9.1,Cl1
a102,WHI,0.12,0.054,162,0.9962,9.4,Cl1
a103,WHI,0.21,0.05,164,0.997,9.4,Cl1
a104,WHI,0.305,0.059,170,1,9,Cl1
a105,WHI,0.25,0.06,192,0.9975,9.1,Cl1
a106,WHI,0.13,0.051,109,0.9974,9.2,Cl2
a107,WHI,0.12,0.054,162,0.9962,9.4,Cl1
a108,WHI,0.23,0.04,171,0.999,9.1,Cl2
a109,WHI,0.23,0.04,171,0.999,9.1,Cl2
a110,WHI,0.33,0.051,187,0.9927,10.3,Cl1
a111,WHI,0.17,0.082,163,0.9959,8.8,Cl2
a112,WHI,0.27,0.052,255,1,8.9,Cl1
a113,WHI,0.31,0.056,195,0.9982,9.2,Cl1
a114,WHI,0.41,0.049,150,0.9968,9.1,Cl1
a115,WHI,0.41,0.049,150,0.9968,9.1,Cl1
a116,WHI,0.485,0.065,103,0.994,9.7,Cl1
a117,WHI,0.31,0.041,143,0.9914,11.3,Cl2
a118,WHI,0.14,0.035,85,0.9911,11.8,Cl2
a119,WHI,0.31,0.056,195,0.9982,9.2,Cl1
a120,WHI,0.32,0.06,196,0.9982,9.2,Cl1
a121,WHI,0.36,0.046,87,0.9934,10.2,Cl1
a122,WHI,0.24,0.054,138,0.9984,8.8,Cl1
a123,WHI,0.16,0.059,131,0.9952,9.7,Cl1
a124,WHI,0.19,0.058,146,0.9952,9.1,Cl2
a125,WHI,0.13,0.092,158,0.9928,9.8,Cl2
a126,WHI,0.19,0.026,143,0.9912,11,Cl2
a127,WHI,0.39,0.033,126,0.994,10.5,Cl1
a128,WHI,0.24,0.038,203,0.9958,9.7,Cl2
a129,WHI,0.3,0.044,179,0.9924,10.9,Cl2
a130,WHI,0.3,0.046,184,0.9924,10.9,Cl2
